,ENGLISH,GERMAN
102667,they talked over the plan for hours,sie redeten stundenlang uber den plan
102668,they washed themselves in the river,sie wuschen sich im fluss
102669,they were abandoned by their mother,sie wurden von ihrer mutter verlassen
102670,they were afraid of being overheard,sie furchteten belauscht zu werden
102671,they were afraid of being overheard,sie hatten angst belauscht zu werden
102672,they were all fed up with the noise,sie hatten den larm alle satt
102673,they were burdened with heavy taxes,sie wurden durch hohe steuern geplagt
102674,they were rescued by a passing ship,sie wurden von einem vorbeikommenden schiff gerettet
102675,they were satisfied with the result,sie waren mit dem ergebnis zufrieden
102676,they were sure he would always fail,sie waren sich sicher dass er es nie schaffen wurde
102677,things are not like they used to be,die dinge sind nicht mehr so wie sie einmal waren
102678,this actually doesnt taste too bad,das schmeckt uberhaupt nicht schlecht
102679,this alone is enough to convince us,dies allein reicht schon aus um uns zu uberzeugen
102680,this book is not available in japan,dieses buch ist in japan nicht erhaltlich
102681,this book is not available in japan,dieses buch ist in japan nicht zu haben
102682,this book is suitable for beginners,dieses buch eignet sich fur anfanger
102683,this book isnt as easy as that one,dieses buch ist nicht so einfach wie das
102684,this book will be printed next year,das buch geht nachstes jahr in druck
102685,this book will be printed next year,dieses buch wird nachstes jahr gedruckt werden
102686,this building looks very futuristic,dieses bauwerk sieht sehr futuristisch aus
102687,this bus can carry fifty passengers,dieser bus kann funfzig fahrgaste befordern
102688,this camera is not loaded with film,diese kamera enthalt keinen film
102689,this camera is small but very good,diese kamera ist klein aber sehr gut
102690,this can be found in any dictionary,das kann man in jedem worterbuch nachsehen
102691,this check is payable to the bearer,dieser scheck ist auszahlbar an den uberbringer
102692,this check is payable to the bearer,dies ist ein barscheck
102693,this conversation is being recorded,dieses gesprach wird aufgenommen
102694,this custom began in the edo period,dieser brauch begann in der edozeit
102695,this document is for your eyes only,dieses dokument ist nur fur deine augen bestimmt
102696,this document is for your eyes only,dieses dokument ist nur fur ihre augen bestimmt
102697,this door is locked from the inside,diese tur ist von innen verschlossen
102698,this dress is much too large for me,dieses kleid ist mir viel zu gro
102699,this failure is due to your mistake,dieser fehlschlag ist auf deinen fehler zuruckzufuhren
102700,this failure is due to your mistake,dieser fehlschlag ist auf euren fehler zuruckzufuhren
102701,this failure is due to your mistake,dieser fehlschlag ist auf ihren fehler zuruckzufuhren
102702,this flashlight needs two batteries,in diese taschenlampe kommen zwei batterien
102703,this hall holds two thousand people,diese halle fasst zweitausend personen
102704,this hat does match the brown dress,dieser hut passt schon zum braunen kleid
102705,this highway saves us a lot of time,diese autobahn spart uns eine menge zeit
102706,this house is registered in my name,dieses haus ist auf meinen namen registriert
102707,this house is registered in my name,dieses haus ist auf mich eingetragen
102708,this is a good learning environment,hier herrscht eine gute lernatmosphare
102709,this is a map of the city of sendai,dies ist ein stadtplan von sendai
102710,this is a picture of my grandmother,das ist ein foto von meiner oma
102711,this is a remake of a classic movie,das ist eine neufassung eines klassischen films
102712,this is about all i can put up with,das ist so ziemlich alles was ich ertragen kann
102713,this is how i want to be remembered,so will ich dass man sich an mich erinnert
102714,this is just the type of car i want,das ist genau so ein auto wie ich will
102715,this is just the type of car i want,genau so ein auto will ich haben
102716,this is only the tip of the iceberg,das ist nur die spitze des eisbergs
102717,this is something i must face alone,hierbei handelt es sich um etwas dem ich mich allein stellen muss
102718,this is something im very proud of,darauf bin ich sehr stolz
102719,this is something im very proud of,das ist etwas worauf ich sehr stolz bin
102720,this is the first song i ever wrote,das ist das allererste lied das ich geschrieben habe
102721,this is the house where he was born,das hier ist sein geburtshaus
102722,this is the house where he was born,das hier ist das haus in dem er geboren wurde
102723,this is the priest who married them,das hier ist der priester der sie vermahlte
102724,this is where i was born and raised,hier bin ich geboren und aufgewachsen
102725,this is where the accident happened,hier ist dieser unfall passiert
102726,this isnt my first time to be here,ich bin nicht zum ersten mal hier
102727,this isnt supposed to be happening,das sollte eigentlich nicht passieren
102728,this kind of work is very dangerous,diese art der arbeit ist sehr gefahrlich
102729,this looks like a good spot to camp,hier kann man doch sicher gut zelten
102730,this meal would be enough for three,diese mahlzeit ist genug fur drei personen
102731,this movie is suitable for children,dieser film ist fur kinder geeignet
102732,this must be my grandfathers house,das hier muss das haus meines grovaters sein
102733,this old bread is as hard as a rock,dieses alte brot ist steinhart
102734,this pen is very easy to write with,dieser stift schreibt sehr gut
102735,this pencil is better than that one,dieser bleistift hier ist besser als jener
102736,this problem is both yours and ours,dieses problem ist ebenso das eure wie das unsere
102737,this river flows south into the sea,dieser fluss fliet nach suden ins meer
102738,this road connects tokyo with osaka,diese strae verbindet tokio und osaka
102739,this road will lead you to the park,dieser weg fuhrt zum park
102740,this room doesnt get much sunlight,dieser raum bekommt nicht viel sonnenschein
102741,this room doesnt get much sunshine,dieser raum bekommt nicht viel sonne ab
102742,this shop deals in womens clothing,dieses geschaft handelt mit damenbekleidung
102743,this smells bad but it tastes good,das hier riecht schlimm schmeckt aber gut
102744,this stone has a hole in the center,dieser stein hat in der mitte ein loch
102745,this story is based on a true story,diese geschichte beruht auf einer wahren begebenheit
102746,this table is just as large as ours,dieser tisch ist genauso gro wie unserer
102747,this theory consists of three parts,diese theorie besteht aus drei teilen
102748,this ticket is valid for three days,diese fahrkarte ist drei tage gultig
102749,this train is made up of seven cars,dieser zug besteht aus sieben wagen
102750,this train is made up of seven cars,dieser zug besteht aus sieben waggons
102751,this university was founded in,diese universitat wurde gegrundet
102752,this university was founded in,diese universitat wurde im jahre gegrundet
102753,this wasnt an easy decision for us,diese entscheidung ist uns nicht leichtgefallen
102754,this watch was given me by my uncle,diese armbanduhr habe ich von meinem onkel bekommen
102755,this website can harm your computer,diese website kann ihren computer beschadigen
102756,this website can harm your computer,diese netzprasenz kann ihren rechner beschadigen
102757,this word is both a noun and a verb,dieses wort ist beides ein substantiv und ein verb
102758,this year is going to be prosperous,dieses jahr wird erfolgreich sein
102759,those present were almost all women,die anwesenden waren fast alle frauen
102760,those present were almost all women,fast alle anwesenden waren frauen
102761,thousands of people lost their jobs,tausende verloren ihre arbeit
102762,thousands of people lost their jobs,tausende wurden arbeitslos
102763,three years sounds like a long time,drei jahre klingt nach einer langen zeit
102764,time will show which of us is right,die zeit wird zeigen wer von uns recht hat
102765,to put it clearly i dont like him,um es klar zu sagen ich mag ihn nicht
102766,to tell the truth i dont like him,ehrlich gesagt gefallt er mich nicht
102767,today i want to eat something light,heute mochte ich irgendetwas leichtes essen
102768,today i want to eat something light,heute mochte ich etwas leichtes essen
102769,today i want to eat something light,heute mochte ich mal was leichtes essen
102770,today is a nonburnable rubbish day,heute ist der tag fur nicht brennbaren mull
102771,todays a bit too hot for my liking,es ist heute ein wenig zu hei fur meinen geschmack
102772,today i turn twentyfive years old,heute werde ich funfundzwanzig jahre alt
102773,tom abandoned his wife and children,tom hat frau und kinder verlassen
102774,tom acted like nothing had happened,tom tat so als ware nichts geschehen
102775,tom admitted that he had been wrong,tom gab zu dass er im irrtum war
102776,tom admitted that he had been wrong,tom gab zu dass er sich geirrt hatte
102777,tom and i are about the same height,tom und ich sind etwa gleich gro
102778,tom and i are both on the same team,tom und ich sind beide in derselben mannschaft
102779,tom and i are both waiting for mary,tom und ich warten beide auf maria
102780,tom and i both want to go to boston,tom und ich wollen beide nach boston
102781,tom and i both want you to be happy,tom und ich wir wollen beide dass du glucklich bist
102782,tom and i had a lot of fun together,tom und ich hatten viel spa zusammen
102783,tom and i were born on the same day,tom und ich wurden am selben tag geboren
102784,tom and i were up all night talking,tom und ich waren die ganze nacht lang wach und haben uns unterhalten
102785,tom and i wore each others clothes,tom und ich hatten die kleidung getauscht
102786,tom and i work at the same hospital,tom und ich arbeiten in demselben krankenhaus
102787,tom and i worked together in boston,tom und ich haben zusammen in boston gearbeitet
102788,tom and mary adopted three children,tom und mary haben drei kinder adoptiert
102789,tom and mary adopted three children,tom und mary adoptierten drei kinder
102790,tom and mary are both good teachers,tom und maria sind beide gute lehrer
102791,tom and mary are both very talented,tom und maria sind beide sehr begabt
102792,tom and mary are both wearing black,tom und maria trugen beide schwarz
102793,tom and mary are brother and sister,tom und maria sind geschwister
102794,tom and mary are having an argument,tom und maria streiten sich gerade
102795,tom and mary are intelligent people,tom und maria sind intelligente leute
102796,tom and mary are no longer together,tom und maria sind nicht mehr zusammen
102797,tom and mary are playing battleship,tom und mary spielen schiffe versenken
102798,tom and mary are playing tennis now,tom und mary spielen gerade tennis
102799,tom and mary are probably canadians,tom und maria sind wahrscheinlich kanadier
102800,tom and mary are proud of their son,tom und maria sind stolz auf ihren sohn
102801,tom and mary are the only survivors,tom und maria sind die einzigen uberlebenden
102802,tom and mary are the only survivors,tom und mary sind die einzigen uberlebenden
102803,tom and mary are working downstairs,tom und maria arbeiten unten
102804,tom and mary arent doing very well,tom und mary geht es nicht besonders gut
102805,tom and mary arent getting married,tom und maria werden nicht heiraten
102806,tom and mary cant stand each other,tom und maria konnen einander nicht ausstehen
102807,tom and mary cant stand each other,tom und maria konnen sich nicht ausstehen
102808,tom and mary danced with each other,tom und maria tanzten miteinander
102809,tom and mary decided to follow john,tom und maria beschlossen johannes zu folgen
102810,tom and mary dont eat meat anymore,tom und maria essen kein fleisch mehr
102811,tom and mary got married last month,tom und maria haben im letzten monat geheiratet
102812,tom and mary hardly know each other,tom und maria kennen einander kaum
102813,tom and mary have the same birthday,tom und maria haben am selben tag geburtstag
102814,tom and mary live in the same house,tom und maria wohnen in demselben haus
102815,tom and mary love each other deeply,tom und maria lieben sich innig
102816,tom and mary must be married by now,tom und maria mussen inzwischen verheiratet sein
102817,tom and mary picked up a hitchhiker,tom und maria haben einen anhalter mitgenommen
102818,tom and mary really hate each other,tom und maria hassen einander wirklich
102819,tom and mary said they were leaving,tom und maria sagten sie wollten gehen
102820,tom and mary see eye to eye on this,tom und mary haben dazu die gleiche meinung
102821,tom and mary seem so happy together,tom und maria scheinen zusammen glucklich zu sein
102822,tom and mary stayed up late talking,tom und maria blieben lange wach und unterhielten sich
102823,tom and mary still havent woken up,tom und maria sind noch immer nicht aufgewacht
102824,tom and mary took a selfie together,tom und maria machten einen schnappschuss von sich
102825,tom and mary took a stroll together,tom und maria gingen zusammen spazieren
102826,tom and mary used to be sweethearts,tom und maria waren mal ein verliebtes parchen
102827,tom and mary were alone in the cave,tom und maria waren allein in der hohle
102828,tom and mary were alone in the park,tom und maria waren allein im park
102829,tom and mary were at johns funeral,tom und maria waren auf johannes beerdigung
102830,tom and mary were in the same class,tom und mary waren in derselben klasse
102831,tom and mary will take care of john,tom und maria werden sich um johannes kummern
102832,tom and marys house is very untidy,bei tom und maria zu hause ist es sehr unordentlich
102833,tom answered the question correctly,tom hat die frage richtig beantwortet
102834,tom appealed to the judge for mercy,tom ersuchte den richter um gnade
102835,tom asked mary how much she weighed,tom fragte mary wie viel sie wiegt
102836,tom asked mary if shed return soon,tom fragte mary ob sie bald zuruckkehren wurde
102837,tom asked mary not to drive so fast,tom bat mary nicht so schnell zu fahren
102838,tom asked mary out but she said no,tom wollte mit maria ausgehen doch sie lehnte ab
102839,tom asked mary to speak more slowly,tom bat mary langsamer zu sprechen
102840,tom asked mary to wait for him here,tom bat mary auf ihn hier zu warten
102841,tom asked mary to wait in the lobby,tom bat maria im foyer zu warten
102842,tom asked mary to wait in the lobby,tom bat maria in der eingangshalle zu warten
102843,tom asked mary to wait in the lobby,tom bat mary in der lobby zu warten
102844,tom asked mary where her mother was,tom fragte maria wo ihre mutter sei
102845,tom asked mary why she was laughing,tom fragte maria warum sie lache
102846,tom asked if he might go home early,tom fragte ob er eher nach hause durfe
102847,tom asked me to proofread his essay,tom bat mich seinen aufsatz korrektur zu lesen
102848,tom asked me to wake him up at,tom bat mich ihn um halb drei zu wecken
102849,tom asked me where i bought my belt,tom fragte mich wo ich meinen gurtel gekauft habe
102850,tom ate vegetable soup this morning,tom hat heute morgen gemusesuppe gegessen
102851,tom attached the string to the kite,tom befestigte die schnur am drachen
102852,tom baked some heartshaped cookies,tom buk herzformige kekse
102853,tom became very famous very quickly,tom wurde sehr schnell sehr beruhmt
102854,tom begged mary not to say anything,tom flehte maria an nichts zu sagen
102855,tom believed that mary was innocent,tom glaubte dass mary unschuldig war
102856,tom believes that mary was murdered,tom glaubt dass maria ermordet wurde
102857,tom believes that unicorns are real,tom glaubt dass es einhorner wirklich gibt
102858,tom borrowed money to go to college,tom lieh sich geld um studieren zu konnen
102859,tom bought mary a box of chocolates,tom kaufte mary eine schachtel pralinen
102860,tom bought a camera to give to mary,tom kaufte eine kamera als geschenk fur mary
102861,tom bought a camera to give to mary,tom kaufte eine kamera die er mary schenken wollte
102862,tom bought a new pair of sunglasses,tom hat sich eine neue sonnenbrille gekauft
102863,tom bought himself a new sports car,tom kaufte sich ein neues sportauto
102864,tom called mary up from the airport,tom rief mary vom flughafen aus an
102865,tom called mary up from the airport,tom hat mary vom flughafen aus angerufen
102866,tom calls his karate teacher sensei,tom nennt seinen karatelehrer sensei
102867,tom came even though it was raining,tom kam obwohl es regnete
102868,tom came home from boston last week,tom ist letzte woche aus boston nach hause zuruckgekehrt
102869,tom came over while you were asleep,tom kam vorbei wahrend du schliefst
102870,tom came to sit with me on the sofa,tom kam und setzte sich zu mir aufs sofa
102871,tom came to visit us three days ago,tom kam uns vor drei tagen besuchen
102872,tom can give you an answer tomorrow,tom kann dir morgen eine antwort geben
102873,tom can run a lot faster than i can,tom kann viel schneller rennen als ich
102874,tom can swim almost as fast as mary,tom kann fast genauso schnell schwimmen wie mary
102875,tom cant afford to travel by plane,tom kann sich keine flugreise leisten
102876,tom cant even pretend to like mary,tom kann nicht einmal so tun als moge er mary
102877,tom cant hear a word youre saying,tom kann kein wort von dem verstehen was du sagst
102878,tom cant see mary from where he is,tom kann maria von dort wo er ist nicht sehen
102879,tom cant swim and neither can mary,tom kann nicht schwimmen und maria auch nicht
102880,tom cant understand marys motives,tom kann marys beweggrunde nicht verstehen
102881,tom caught mary smoking a cigarette,tom hat maria beim rauchen erwischt
102882,tom caught mary smoking a cigarette,tom erwischte maria beim rauchen einer zigarette
102883,tom caught the ball with both hands,tom fing den ball mit beiden handen
102884,tom circled three names on the list,tom umkringelte drei namen auf der liste
102885,tom circled three names on the list,tom zog um drei namen auf der liste einen kringel
102886,tom claimed that it was an accident,tom behauptete dass es ein unfall gewesen sei
102887,tom closed his eyes and fell asleep,tom machte die augen zu und schlief ein
102888,tom closed his eyes and made a wish,tom schloss die augen und wunschte sich etwas
102889,tom comes here almost every weekend,tom kommt fast jedes wochenende hier her
102890,tom comes home almost every weekend,tom kommt fast jedes wochenende heim
102891,tom confessed to stealing the money,tom hat den gelddiebstahl zugegeben
102892,tom could no longer control himself,tom konnte sich nicht langer beherrschen
102893,tom could see marys disappointment,tom sah maria ihre enttauschung an
102894,tom could see that mary was shocked,tom sah maria an dass sie schockiert war
102895,tom couldve been seriously injured,tom hatte sich ernsthaft verletzten konnen
102896,tom couldnt believe what mary said,tom konnte nicht glauben was maria da sagte
102897,tom couldnt find anyone to talk to,tom fand niemanden mit dem er sprechen konnte
102898,tom couldnt find his way back home,tom fand nicht mehr nach hause
102899,tom couldnt get in touch with mary,tom konnte mary nicht erreichen
102900,tom couldnt keep his eyes off mary,tom konnte nicht anders als standig mary anzusehen
102901,tom couldnt persuade mary to leave,tom konnte mary nicht uberzeugen zu gehen
102902,tom couldnt understand marys joke,tom verstand marias witz nicht
102903,tom cried until he ran out of tears,tom weinte bis er keine tranen mehr hatte
102904,tom dealt five cards to each player,tom gab jedem spieler funf karten
102905,tom decided to redesign his website,tom beschloss seiner webseite ein neues aussehen zu verpassen
102906,tom decided to redesign his website,tom beschloss seinen netzauftritt neu zu gestalten
102907,tom did his homework in the kitchen,tom machte seine hausaufgaben in der kuche
102908,tom did what he promised me hed do,tom tat was er mir versprochen hatte
102909,tom didnt answer all the questions,tom hat nicht alle fragen beantwortet
102910,tom didnt go to work all last week,tom ist die ganze letzte woche nicht zur arbeit gegangen
102911,tom didnt have to go to work today,tom brauchte heute nicht zur arbeit
102912,tom didnt hear mary enter the room,tom horte nicht wie maria ins zimmer kam
102913,tom didnt hear mary enter the room,tom horte maria nicht ins zimmer kommen
102914,tom didnt know mary would be there,tom wusste nicht dass maria dort sein wurde
102915,tom didnt know anyone at the party,tom kannte niemanden auf der party
102916,tom didnt know anything about mary,tom wusste nichts uber maria
102917,tom didnt know that mary was lying,tom wusste nicht dass mary log
102918,tom didnt meet mary or anyone else,tom traf weder mary noch sonst jemanden
102919,tom didnt offer us anything to eat,tom hat uns nichts zu essen angeboten
102920,tom didnt remember to pay his rent,tom dachte nicht daran seine miete zu bezahlen
102921,tom didnt seem too happy to see me,tom schien nicht allzu erfreut mich zu sehen
102922,tom didnt want mary to drive drunk,tom wollte nicht dass maria betrunken auto fahre
102923,tom didnt want to go to the doctor,tom wollte nicht zum arzt gehen
102924,tom didnt want to sit next to mary,tom wollte nicht neben maria sitzen
102925,tom didnt want to take any chances,tom wollte kein risiko eingehen
102926,tom didnt want to talk to his wife,tom wollte nicht mit seiner frau reden
102927,tom didnt work as hard as mary did,tom arbeitete nicht so fleiig wie maria
102928,tom discussed the details with mary,tom besprach die einzelheiten mit maria
102929,tom discussed the problem with mary,tom besprach das problem mit mary
102930,tom discussed the problem with mary,tom diskutierte das problem mit mary
102931,tom does anything we tell him to do,tom macht alles was wir ihm auftragen
102932,tom doesnt always obey his parents,tom gehorcht seinen eltern nicht immer
102933,tom doesnt always obey his parents,nicht immer gehorcht tom seinen eltern
102934,tom doesnt even read the newspaper,tom liest noch nicht einmal zeitung
102935,tom doesnt have a drivers license,tom hat keinen fuhrerschein
102936,tom doesnt have much time to waste,tom hat nicht viel zeit zu verlieren
102937,tom doesnt have to work on sundays,tom muss sonntags nicht arbeiten
102938,tom doesnt have to work on sundays,tom braucht sonntags nicht zu arbeiten
102939,tom doesnt know im marys brother,tom wei nicht dass ich marias bruder bin
102940,tom doesnt know marys address yet,tom kennt marys adresse noch nicht
102941,tom doesnt know how strong you are,tom wei nicht wie stark du bist
102942,tom doesnt know how strong you are,tom wei nicht wie stark sie sind
102943,tom doesnt know what mary has done,tom wei nicht was maria getan hat
102944,tom doesnt know what mary is doing,tom wei nicht was maria tut
102945,tom doesnt know what got into mary,tom wei nicht was in mary gefahren ist
102946,tom doesnt know what to do anymore,tom wei nicht mehr was er machen soll
102947,tom doesnt know what to do anymore,tom wei nicht mehr was er tun soll
102948,tom doesnt know when mary can come,tom wei nicht wann mary kommen kann
102949,tom doesnt know where he should go,tom wei nicht wo er hingehen soll
102950,tom doesnt know where his keys are,tom wei nicht wo seine schlussel sind
102951,tom doesnt know who baked the cake,tom wei nicht wer den kuchen gebacken hat
102952,tom doesnt like being contradicted,tom mag es nicht wenn man ihm widerspricht
102953,tom doesnt like speaking in public,tom spricht nicht gerne in der offentlichkeit
102954,tom doesnt like the way mary sings,tom missfallt marias gesang
102955,tom doesnt like the way mary talks,tom gefallt marias art zu reden nicht
102956,tom doesnt like to speak in public,tom spricht nicht gerne in der offentlichkeit
102957,tom doesnt like to work by himself,tom arbeitet nicht gern allein
102958,tom doesnt like traveling by plane,tom reist nicht gern mit dem flugzeug
102959,tom doesnt mind doing that for you,tom macht es nichts aus das fur dich zu erledigen
102960,tom doesnt mind lending mary money,tom macht es nichts aus mary geld zu leihen
102961,tom doesnt pay attention in school,tom passt in der schule nicht auf
102962,tom doesnt realize how lucky he is,tom ist sich nicht bewusst wie glucklich er ist
102963,tom doesnt trust a thing mary says,tom traut nichts von dem was maria sagt
102964,tom doesnt want to argue with mary,tom will sich nicht mit maria streiten
102965,tom doesnt want to be disappointed,tom mochte nicht enttauscht werden
102966,tom doesnt want to discourage mary,tom will maria nicht entmutigen
102967,tom doesnt want to miss his flight,tom will seinen flug nicht verpassen
102968,tom doesnt want to talk to anybody,tom will mit niemandem sprechen
102969,tom dreamed of becoming a rock star,tom traumte davon rockstar zu werden
102970,tom drives a sports car doesnt he,tom fahrt einen sportwagen oder
102971,tom dropped mary off at the station,tom setzte maria am bahnhof ab
102972,tom earns three times as much as me,tom verdient dreimal so viel wie ich
102973,tom eats chocolate almost every day,tom isst fast jeden tag schokolade
102974,tom explained how he lost his money,tom erklarte wie er sein geld verloren hatte
102975,tom explained the situation to mary,tom erklarte mary die situation
102976,tom extended his stay by three days,tom verlangerte seinen aufenthalt um drei tage
102977,tom failed to pass his driving test,tom ist bei seiner fahrprufung durchgefallen
102978,tom feels insecure about his future,tom ist unsicher bezuglich seiner zukunft
102979,tom fell asleep with his glasses on,tom schlief mit der brille auf der nase ein
102980,tom fell in love with a pretty girl,tom verliebte sich in ein hubsches madchen
102981,tom filled the empty glass with ice,tom fullte das leere glas mit eis
102982,tom finally contacted mary by phone,tom setzte sich endlich telefonisch mit maria in verbindung
102983,tom finally contacted mary by phone,tom meldete sich endlich telefonisch bei maria
102984,tom followed mary out into the hall,tom folgte maria auf den flur
102985,tom forgot where he put his glasses,tom wusste nicht mehr wo er seine brille hingelegt hatte
102986,tom found an old safe in his garage,tom hat in seiner garage einen alten tresor gefunden
102987,tom found the experience terrifying,tom fand die erfahrung erschreckend
102988,tom gave mary a ride home yesterday,tom hat maria gestern nach hause gebracht
102989,tom gave mary everything she wanted,tom gab maria alles was sie wollte
102990,tom gave mary some practical advice,tom erteilte maria einen praktischen rat
102991,tom generally takes the bus to work,im allgemeinen fahrt tom mit dem bus zur arbeit
102992,tom goes for a walk every afternoon,tom macht jeden nachmittag einen spaziergang
102993,tom goes to school five days a week,tom geht funf tage die woche in die schule
102994,tom goes to the same school as mary,tom geht in dieselbe schule wie maria
102995,tom goes to the same school as mary,tom besucht dieselbe schule wie maria
102996,tom goes to the same school as mary,tom geht auf dieselbe schule wie maria
102997,tom got a parttime job as gardener,tom bekam eine teilzeitstelle als gartner
102998,tom got hurt in an accident at work,tom hat sich bei einem arbeitsunfall verletzt
102999,tom got hurt in an accident at work,tom verletzte sich bei einem arbeitsunfall
103000,tom got into the car and drove away,tom stieg in den wagen und fuhr davon
103001,tom had mary help him tie his shoes,tom lie sich von maria beim schnuren seiner schuhe helfen
103002,tom had a date with mary last night,tom hatte gestern ein date mit mary
103003,tom had a good reason for not going,tom hatte einen guten grund nicht zu gehen
103004,tom had a heart tattooed on his arm,tom hatte ein herz auf seinem arm tatowiert
103005,tom had a hunch that mary was lying,tom hatte das gefuhl dass marie log
103006,tom had a score to settle with mary,tom hatte mit mary noch ein huhnchen zu rupfen
103007,tom had an annoyed look on his face,tom hatte einen verdrossenen gesichtsausdruck
103008,tom had his picture taken with mary,tom lie sich mit maria zusammen fotografieren
103009,tom had never been to boston before,tom war noch nie zuvor in boston gewesen
103010,tom had no one to tell his story to,tom hatte niemanden dem er seine geschichte erzahlen konnte
103011,tom had no time to finish the story,tom hatte keine zeit die geschichte zu beenden
103012,tom had only three dollars with him,tom hatte nur drei dollar dabei
103013,tom had to explain the joke to mary,tom musste maria den witz erklaren
103014,tom had to go to boston on business,tom musste geschaftlich nach boston
103015,tom had to go to boston on business,tom musste auf geschaftsreise nach boston
103016,tom handed mary a cup of hot coffee,tom reichte maria eine tasse heien kaffees
103017,tom handed mary a cup of hot coffee,tom reichte maria eine heie tasse kaffee
103018,tom handed mary a glass of red wine,tom reichte maria ein glas rotwein
103019,tom handed mary a glass of red wine,tom reichte maria ein glas mit rotwein
103020,tom hanged himself in his jail cell,tom erhangte sich in seiner gefangniszelle
103021,tom hardly looked up from his plate,tom sah kaum von seinem teller auf
103022,tom has a reservation at this hotel,tom hat in diesem hotel reserviert
103023,tom has a younger sister named mary,tom hat eine jungere schwester mit namen maria
103024,tom has already decided where to go,tom hat sich schon entschieden wohin er will
103025,tom has already given me permission,tom hat mir bereits die erlaubnis erteilt
103026,tom has already killed three people,tom hat bereits drei menschen getotet
103027,tom has an older brother named john,tom hat einen alteren bruder mit namen johannes
103028,tom has been abroad for three years,tom ist seit drei jahren im ausland
103029,tom has been avoiding mary all week,tom ist maria die ganze woche aus dem weg gegangen
103030,tom has been bullying me for months,tom schikaniert mich schon seit monaten
103031,tom has been detained by the police,tom wurde von der polizei inhaftiert
103032,tom has begun looking for a new job,tom hat angefangen eine neue arbeitsstelle zu suchen
103033,tom has changed his mind about that,tom hat diesbezuglich seine meinung geandert
103034,tom has decided to have the surgery,tom hat sich dafur entschieden die operation machen zu lassen
103035,tom has difficulty making decisions,tom hat schwierigkeiten entscheidungen zu treffen
103036,tom has eaten three hot dogs so far,tom hat soweit drei wurstchen im brot gegessen
103037,tom has gone back home to australia,tom ist in seine australische heimat zuruckgekehrt
103038,tom has just finished eating dinner,tom ist gerade mit dem abendessen fertig geworden
103039,tom has lived in chicago for a year,tom lebt seit einem jahr in chicago
103040,tom has long hair and wears glasses,tom hat lange haare und tragt eine brille
103041,tom has lost his motivation to work,tom hat seine arbeitsmotivation verloren
103042,tom has lots of things to tell mary,tom hat maria viel zu erzahlen
103043,tom has made sure no one can get in,tom hat sich versichert dass niemand hereinkommen kann
103044,tom has meetings all day on mondays,tom hat montags den ganzen tag lang sitzungen
103045,tom has more important things to do,tom hat wichtigeres zu tun
103046,tom has no classes at all on monday,tom hat am montag uberhaupt keinen unterricht
103047,tom has plenty of money in the bank,tom hat jede menge geld auf der bank
103048,tom has quite a career ahead of him,tom hat eine groe karriere vor sich
103049,tom has some very interesting ideas,tom hat einige sehr interessante ideen
103050,tom has three sons and one daughter,tom hat drei sohne und eine tochter
103051,tom has to finish this work by,tom muss mit dieser arbeit bis halb drei uhr fertig sein
103052,tom has to finish this work by,tom muss mit dieser arbeit bis zwei uhr dreiig fertig sein
103053,tom has to finish this work by,tom muss mit dieser arbeit bis fertig sein
103054,tom has to finish this work by,tom muss mit dieser arbeit bis halb drei fertig sein
103055,tom has tried to kill himself again,tom hat wieder versucht sich das leben zu nehmen
103056,tom has trouble dealing with stress,tom kann schlecht mit stress umgehen
103057,tom has trouble standing on one leg,tom hat muhe auf einem bein zu stehen
103058,tom hasnt been answering his phone,tom geht nicht ans telefon
103059,tom hasnt been back here for years,tom ist schon seit jahren nicht wieder hier gewesen
103060,tom hasnt been here in a long time,tom ist schon lange nicht mehr hier gewesen
103061,tom hasnt been sick in a long time,tom ist schon lange nicht mehr krank gewesen
103062,tom hasnt listened to the song yet,tom hat sich das lied noch nicht angehort
103063,tom hasnt realized his mistake yet,tom hat seinen fehler noch nicht eingesehen
103064,tom hasnt shaved since last monday,tom hat sich seit letztem montag nicht mehr rasiert
103065,tom heard a cat meowing in the tree,tom horte eine katze die auf dem baum miaute
103066,tom held open the car door for mary,tom hielt maria die autotur auf
103067,tom held the car door open for mary,tom hielt maria die autotur auf
103068,tom helped mary carry her suitcases,tom half marie ihre koffer zu tragen
103069,tom helped mary off with her jacket,tom half maria aus ihrer jacke
103070,tom helped mary yesterday afternoon,tom half mary gestern nachmittag
103071,tom helped his mother set the table,tom half seiner mutter beim decken des tisches
103072,tom helped his mother set the table,tom half seiner mutter dabei den tisch zu decken
103073,tom hid some papers behind his back,tom verbarg einige zettel hinter seinem rucken
103074,tom hopes that mary passes the exam,tom hofft dass mary die prufung schafft
103075,tom hurt his knee when he fell down,tom verletzte sich bei seinem sturz am knie
103076,tom hurt his knee when he fell down,tom verletzte sich als er hinfiel am knie
103077,tom hurt his knee when he fell down,tom versehrte sich am knie als er sturzte
103078,tom invited mary over to eat dinner,tom lud mary zu sich zum essen ein
103079,tom is marys husbands best friend,tom ist der beste freund von marys ehemann
103080,tom is a few months older than mary,tom ist ein paar monate alter als maria
103081,tom is a fluent speaker of japanese,tom spricht flieend japanisch
103082,tom is a friend of a friend of mine,tom ist der freund eines freundes von mir
103083,tom is a friend of a friend of mine,tom ist ein freund einer meiner freunde
103084,tom is a little taller than you are,tom ist ein bisschen groer als du
